nama_uji,kondisi,filename,status,left_eye_state,right_eye_state,ear_left,ear_right,left_center_x,left_center_y,right_center_x,right_center_y,left_movement_norm,right_movement_norm,left_radius,right_radius,left_eye_width,right_eye_width,left_rel_norm_x,left_rel_norm_y,right_rel_norm_x,right_rel_norm_y,error
zerodidce,normal,yaleB29_P00A-005E-10.png,kemungkinan_tunanetra,open,open,0.3864136648878567,0.3071916517626621,136.6253662109375,50.34008026123047,38.6531867980957,47.77032470703125,0.0,0.0,8.549712181091309,9.225377559661865,42.90473937988281,43.09151077270508,2.2318639755249023,-0.05694207176566124,-2.18782639503479,-0.11016909033060074,
zerodidce,normal,yaleB29_P00A-010E+00.png,normal,open,open,0.3330768494585649,0.34191109521392493,136.7703094482422,47.214576721191406,40.05156707763672,48.866329193115234,0.04644646281960735,0.10902149695137732,8.842735052108765,8.796512603759766,40.93558883666992,40.97459411621094,2.3411033153533936,-0.10608964413404465,-2.287168502807617,-0.007702366914600134,
zerodidce,normal,yaleB33_P00A+005E+10.png,normal,open,open,0.3702114025226519,0.35407431618887963,129.87155151367188,43.48699188232422,33.89292907714844,43.198524475097656,0.0629753383645114,0.08275930940998952,8.418432474136353,9.209524393081665,44.36093521118164,43.544189453125,2.118082284927368,-0.05120013654232025,-2.2066752910614014,-0.06954967975616455,
zerodidce,normal,yaleB33_P00A+005E-10.png,normal,open,open,0.34168753544369307,0.3451906498936241,130.21658325195312,43.21373748779297,33.63109588623047,43.91075897216797,0.036554793697472346,0.04439319474713044,8.897173404693604,8.774266719818115,41.71217727661133,42.4014892578125,2.2872655391693115,-0.06599786132574081,-2.2717020511627197,-0.02738010697066784,
zerodidce,normal,yaleB33_P00A+010E+00.png,normal,open,open,0.3361722025855055,0.3167685828455138,130.1256561279297,43.404296875,33.99060821533203,44.21269226074219,0.010879678877567307,0.03261061790102311,8.85236406326294,8.894659996032715,44.16688537597656,45.21202087402344,2.1493403911590576,-0.06104473024606705,-2.0978894233703613,-0.024708108976483345,
zerodidce,normal,yaleB33_P00A+010E-20.png,normal,open,open,0.3528224367124973,0.36348982966424415,130.09693908691406,43.334800720214844,32.975013732910156,44.57310104370117,0.022420194297881398,0.049819809798450715,8.60227918624878,8.772494077682495,43.12137222290039,42.06080627441406,2.223771810531616,-0.06465458124876022,-2.3048784732818604,-0.02729950286448002,
zerodidce,normal,yaleB33_P00A-005E+10.png,normal,open,open,0.2888824654753794,0.3163008744523827,130.72592163085938,42.37897491455078,33.57597351074219,43.267364501953125,0.013412937598676221,0.03330136187607417,8.654950380325317,8.705704927444458,42.316810607910156,42.206939697265625,2.2564501762390137,-0.07524949312210083,-2.2725987434387207,-0.04997579753398895,
zerodidce,normal,yaleB33_P00A-005E-10.png,normal,open,open,0.3425444784536227,0.3302489564364998,130.07420349121094,43.04704284667969,34.81402587890625,43.462188720703125,0.03079881105147279,0.031981934572057134,9.017237424850464,9.113925218582153,43.33622741699219,44.28581237792969,2.175257682800293,-0.06090077385306358,-2.134469985961914,-0.05344939976930618,
zerodidce,normal,yaleB33_P00A-010E+00.png,normal,open,open,0.35881287970554604,0.35519370913551934,131.0460205078125,43.259544372558594,34.90109634399414,43.63655090332031,0.0360101194763821,0.01671614109604042,8.609639883041382,8.781195878982544,44.09831619262695,42.22101593017578,2.172344923019409,-0.06954830884933472,-2.2533271312713623,-0.047697294503450394,
zerodidce,normal,yaleB33_P00A-010E-20.png,normal,open,open,0.3505973662422599,0.3332013179899235,131.127197265625,43.117393493652344,33.910274505615234,44.00700378417969,0.025664824359726793,0.058921218903577974,8.508005857467651,8.853053092956543,42.25491714477539,41.67024230957031,2.289125442504883,-0.05938318371772766,-2.3419883251190186,-0.050584036856889725,
